"","agem","folio","nom_mun","lat_decimal","lon_decimal","altitud","region.tariff","tariff","summer"
"18972",22006,19218,"Corregidora",20.5017282229299,-100.436866503185,1940.48407643312,"Sur","1",0
"18973",22006,19211,"Corregidora",20.5017282229299,-100.436866503185,1940.48407643312,"Sur","1",0
"18974",22007,19379,"Ezequiel Montes",20.6607537162791,-99.8932880372093,1989.99069767442,"Sur","1",0
"18975",22007,19366,"Ezequiel Montes",20.6607537162791,-99.8932880372093,1989.99069767442,"Sur","1",0
"18976",22007,19371,"Ezequiel Montes",20.6607537162791,-99.8932880372093,1989.99069767442,"Sur","1",0
"18977",22007,19370,"Ezequiel Montes",20.6607537162791,-99.8932880372093,1989.99069767442,"Sur","1",0
"18978",22007,19372,"Ezequiel Montes",20.6607537162791,-99.8932880372093,1989.99069767442,"Sur","1",0
"18979",22007,19365,"Ezequiel Montes",20.6607537162791,-99.8932880372093,1989.99069767442,"Sur","1",0
"18980",22007,19368,"Ezequiel Montes",20.6607537162791,-99.8932880372093,1989.99069767442,"Sur","1",0
"18981",22007,19369,"Ezequiel Montes",20.6607537162791,-99.8932880372093,1989.99069767442,"Sur","1",0
"18982",22007,19374,"Ezequiel Montes",20.6607537162791,-99.8932880372093,1989.99069767442,"Sur","1",0
"18983",22007,19364,"Ezequiel Montes",20.6607537162791,-99.8932880372093,1989.99069767442,"Sur","1",0
"18984",22007,19375,"Ezequiel Montes",20.6607537162791,-99.8932880372093,1989.99069767442,"Sur","1",0
"18985",22007,19378,"Ezequiel Montes",20.6607537162791,-99.8932880372093,1989.99069767442,"Sur","1",0
"18986",22007,19373,"Ezequiel Montes",20.6607537162791,-99.8932880372093,1989.99069767442,"Sur","1",0
"18987",22007,19380,"Ezequiel Montes",20.6607537162791,-99.8932880372093,1989.99069767442,"Sur","1",0
"18988",22007,19367,"Ezequiel Montes",20.6607537162791,-99.8932880372093,1989.99069767442,"Sur","1",0
"18989",22007,19377,"Ezequiel Montes",20.6607537162791,-99.8932880372093,1989.99069767442,"Sur","1",0
"18990",22007,19376,"Ezequiel Montes",20.6607537162791,-99.8932880372093,1989.99069767442,"Sur","1",0
"18991",22008,19587,"Huimilpan",20.4330076511628,-100.326561937984,2125.09302325581,,,
"18992",22008,19575,"Huimilpan",20.4330076511628,-100.326561937984,2125.09302325581,,,
"18993",22008,19576,"Huimilpan",20.4330076511628,-100.326561937984,2125.09302325581,,,
"18994",22008,19577,"Huimilpan",20.4330076511628,-100.326561937984,2125.09302325581,,,
"18995",22008,19589,"Huimilpan",20.4330076511628,-100.326561937984,2125.09302325581,,,
"18996",22008,19588,"Huimilpan",20.4330076511628,-100.326561937984,2125.09302325581,,,
"18997",22008,19585,"Huimilpan",20.4330076511628,-100.326561937984,2125.09302325581,,,
"18998",22008,19584,"Huimilpan",20.4330076511628,-100.326561937984,2125.09302325581,,,
"18999",22008,19586,"Huimilpan",20.4330076511628,-100.326561937984,2125.09302325581,,,
"19000",22008,19583,"Huimilpan",20.4330076511628,-100.326561937984,2125.09302325581,,,
"19001",22008,19582,"Huimilpan",20.4330076511628,-100.326561937984,2125.09302325581,,,
"19002",22008,19572,"Huimilpan",20.4330076511628,-100.326561937984,2125.09302325581,,,
"19003",22008,19581,"Huimilpan",20.4330076511628,-100.326561937984,2125.09302325581,,,
"19004",22008,19574,"Huimilpan",20.4330076511628,-100.326561937984,2125.09302325581,,,
"19005",22008,19571,"Huimilpan",20.4330076511628,-100.326561937984,2125.09302325581,,,
"19006",22008,19578,"Huimilpan",20.4330076511628,-100.326561937984,2125.09302325581,,,
"19007",22008,19580,"Huimilpan",20.4330076511628,-100.326561937984,2125.09302325581,,,
"19008",22008,19579,"Huimilpan",20.4330076511628,-100.326561937984,2125.09302325581,,,
"19009",22008,19573,"Huimilpan",20.4330076511628,-100.326561937984,2125.09302325581,,,
"19010",22009,19396,"Jalpan de Serra",21.2992962336957,-99.3901354130435,984.423913043478,,,
"19011",22009,19394,"Jalpan de Serra",21.2992962336957,-99.3901354130435,984.423913043478,,,
"19012",22009,19390,"Jalpan de Serra",21.2992962336957,-99.3901354130435,984.423913043478,,,
"19013",22009,19387,"Jalpan de Serra",21.2992962336957,-99.3901354130435,984.423913043478,,,
"19014",22009,19384,"Jalpan de Serra",21.2992962336957,-99.3901354130435,984.423913043478,,,
"19015",22009,19385,"Jalpan de Serra",21.2992962336957,-99.3901354130435,984.423913043478,,,
"19016",22009,19386,"Jalpan de Serra",21.2992962336957,-99.3901354130435,984.423913043478,,,
"19017",22009,19391,"Jalpan de Serra",21.2992962336957,-99.3901354130435,984.423913043478,,,
"19018",22009,19392,"Jalpan de Serra",21.2992962336957,-99.3901354130435,984.423913043478,,,
"19019",22009,19393,"Jalpan de Serra",21.2992962336957,-99.3901354130435,984.423913043478,,,
"19020",22009,19381,"Jalpan de Serra",21.2992962336957,-99.3901354130435,984.423913043478,,,
"19021",22009,19389,"Jalpan de Serra",21.2992962336957,-99.3901354130435,984.423913043478,,,
"19022",22009,19399,"Jalpan de Serra",21.2992962336957,-99.3901354130435,984.423913043478,,,
"19023",22009,19395,"Jalpan de Serra",21.2992962336957,-99.3901354130435,984.423913043478,,,
"19024",22009,19388,"Jalpan de Serra",21.2992962336957,-99.3901354130435,984.423913043478,,,
"19025",22009,19398,"Jalpan de Serra",21.2992962336957,-99.3901354130435,984.423913043478,,,
"19026",22009,19383,"Jalpan de Serra",21.2992962336957,-99.3901354130435,984.423913043478,,,
"19027",22009,19397,"Jalpan de Serra",21.2992962336957,-99.3901354130435,984.423913043478,,,
"19028",22009,19382,"Jalpan de Serra",21.2992962336957,-99.3901354130435,984.423913043478,,,
"19029",22010,19623,"Landa de Matamoros",21.2369571929825,-99.1740004649123,1252.07894736842,"Sur","1A",1
